"Date","Price","Open","High","Low","Vol.","Change %"
"03/01/2025","660.00","656.00","656.00","656.00","","-1.49%"
"02/01/2025","670.00","721.00","721.00","721.00","","1.21%"
"01/01/2025","662.00","602.00","602.00","602.00","","5.92%"
"12/01/2024","625.00","620.00","620.00","620.00","","-5.73%"
"11/01/2024","663.00","524.00","524.00","524.00","","26.77%"
"10/01/2024","523.00","537.00","580.00","491.00","","-5.60%"
"09/01/2024","554.00","592.00","644.00","554.00","","-9.77%"
"08/01/2024","614.00","760.00","760.00","599.00","","-21.08%"
"07/01/2024","778.00","833.00","849.00","778.00","","-6.71%"
"06/01/2024","834.00","988.00","988.00","988.00","","-18.48%"
"05/01/2024","1,023.00","926.00","926.00","926.00","","10.48%"
"04/01/2024","926.00","1,054.00","1,054.00","1,054.00","","-13.62%"
"03/01/2024","1,072.00","986.00","986.00","986.00","","5.72%"
"02/01/2024","1,014.00","1,181.00","1,181.00","1,181.00","","-16.06%"
"01/01/2024","1,208.00","925.00","925.00","925.00","","25.83%"
"12/01/2023","960.00","833.00","833.00","833.00","","15.11%"
"11/01/2023","834.00","779.00","779.00","779.00","","6.92%"
"10/01/2023","780.00","811.00","811.00","811.00","","-4.06%"
"09/01/2023","813.00","837.00","837.00","837.00","","-4.01%"
"08/01/2023","847.00","713.00","713.00","713.00","","20.31%"
"07/01/2023","704.00","635.00","635.00","635.00","","13.55%"
"06/01/2023","620.00","676.00","676.00","676.00","","-8.01%"
"05/01/2023","674.00","763.00","763.00","763.00","","-10.37%"
"04/01/2023","752.00","1,215.00","1,215.00","1,215.00","","-39.74%"
"03/01/2023","1,248.00","816.00","816.00","816.00","","47.34%"
"02/01/2023","847.00","634.00","634.00","634.00","","31.73%"
"01/01/2023","643.00","1,205.00","1,205.00","1,205.00","","-69.88%"
"12/01/2022","2,135.00","1,806.00","1,806.00","1,806.00","","17.57%"
"11/01/2022","1,816.00","1,195.00","1,195.00","1,195.00","","49.71%"
"10/01/2022","1,213.00","1,148.00","1,148.00","1,148.00","","4.39%"
"09/01/2022","1,162.00","1,192.00","1,192.00","1,192.00","","-5.99%"
"08/01/2022","1,236.00","1,365.00","1,365.00","1,365.00","","-9.32%"
"07/01/2022","1,363.00","1,551.00","1,551.00","1,551.00","","-12.96%"
"06/01/2022","1,566.00","1,407.00","1,407.00","1,407.00","","9.82%"
"05/01/2022","1,426.00","1,287.00","1,287.00","1,287.00","","13.63%"
"04/01/2022","1,255.00","917.00","917.00","917.00","","36.26%"
"03/01/2022","921.00","790.00","790.00","790.00","","25.99%"
"02/01/2022","731.00","583.00","583.00","583.00","","30.54%"
"01/01/2022","560.00","675.00","675.00","675.00","","-28.93%"
"12/01/2021","788.00","644.00","644.00","644.00","","23.90%"
"11/01/2021","636.00","578.00","578.00","578.00","","11.97%"
"10/01/2021","568.00","496.00","496.00","496.00","","14.52%"
"09/01/2021","496.00","481.00","481.00","481.00","","-7.29%"
"08/01/2021","535.00","535.00","535.00","535.00","","9.63%"
"07/01/2021","488.00","488.00","488.00","488.00","","9.17%"
"06/01/2021","447.00","447.00","447.00","447.00","","-12.18%"
"05/01/2021","509.00","509.00","509.00","509.00","","8.53%"
"04/01/2021","469.00","469.00","469.00","469.00","","-27.06%"
"03/01/2021","643.00","643.00","643.00","643.00","","22.24%"
"02/01/2021","526.00","526.00","526.00","526.00","","2.94%"
"01/01/2021","511.00","511.00","511.00","511.00","","32.73%"
"12/01/2020","385.00","385.00","385.00","385.00","","9.69%"
"11/01/2020","351.00","351.00","351.00","351.00","","12.50%"
"10/01/2020","312.00","312.00","312.00","312.00","","-16.35%"
"09/01/2020","373.00","373.00","373.00","373.00","","-23.09%"
"08/01/2020","485.00","485.00","485.00","485.00","","36.24%"
"07/01/2020","356.00","356.00","356.00","356.00","","-10.10%"
"06/01/2020","396.00","396.00","396.00","396.00","","-32.54%"
"05/01/2020","587.00","587.00","587.00","587.00","","-69.30%"
"04/01/2020","1,912.00","1,912.00","1,912.00","1,912.00","","120.79%"
"03/01/2020","866.00","866.00","866.00","866.00","","32.82%"
"02/01/2020","652.00","652.00","652.00","652.00","","6.02%"
"01/01/2020","615.00","615.00","615.00","615.00","","-35.40%"
"12/01/2019","952.00","952.00","952.00","952.00","","3.14%"
"11/01/2019","923.00","923.00","923.00","923.00","","33.19%"
"10/01/2019","693.00","693.00","693.00","693.00","","48.08%"
"09/01/2019","468.00","468.00","468.00","468.00","","0.00%"
"08/01/2019","468.00","468.00","468.00","468.00","","2.63%"
"07/01/2019","456.00","456.00","456.00","456.00","","-15.40%"
"06/01/2019","539.00","539.00","539.00","539.00","","0.37%"
"05/01/2019","537.00","537.00","537.00","537.00","","-5.29%"
"04/01/2019","567.00","567.00","567.00","567.00","","-23.07%"
"03/01/2019","737.00","737.00","737.00","737.00","","27.95%"
"02/01/2019","576.00","576.00","576.00","576.00","","-11.79%"
"01/01/2019","653.00","653.00","653.00","653.00","","-20.66%"
"12/01/2018","823.00","823.00","823.00","823.00","","3.91%"
"11/01/2018","792.00","792.00","792.00","792.00","","39.19%"
"10/01/2018","569.00","569.00","569.00","569.00","","3.45%"
"09/01/2018","550.00","550.00","550.00","550.00","","9.78%"
"08/01/2018","501.00","501.00","501.00","501.00","","0.60%"
"07/01/2018","498.00","498.00","498.00","498.00","","0.40%"
"06/01/2018","496.00","496.00","496.00","496.00","","-10.63%"
"05/01/2018","555.00","555.00","555.00","555.00","","-2.12%"
"04/01/2018","567.00","567.00","567.00","567.00","","1.25%"
"03/01/2018","560.00","560.00","560.00","560.00","","-9.97%"
"02/01/2018","622.00","622.00","622.00","622.00","","3.32%"
"01/01/2018","602.00","602.00","602.00","602.00","","-16.39%"
"12/01/2017","720.00","720.00","720.00","720.00","","13.56%"
"11/01/2017","634.00","634.00","634.00","634.00","","20.08%"
"10/01/2017","528.00","528.00","528.00","528.00","","-20.84%"
"09/01/2017","667.00","667.00","667.00","667.00","","-5.12%"
"08/01/2017","703.00","703.00","703.00","703.00","","29.94%"
"07/01/2017","541.00","541.00","541.00","541.00","","-3.91%"
"06/01/2017","563.00","563.00","563.00","563.00","","0.90%"
"05/01/2017","558.00","558.00","558.00","558.00","","-8.97%"
"04/01/2017","613.00","613.00","613.00","613.00","","-18.38%"
"03/01/2017","751.00","751.00","751.00","751.00","","24.96%"
"02/01/2017","601.00","601.00","601.00","601.00","","-0.33%"
"01/01/2017","603.00","603.00","603.00","603.00","","-11.06%"
"12/01/2016","678.00","678.00","678.00","678.00","","54.44%"
"11/01/2016","439.00","439.00","439.00","439.00","","5.28%"
"10/01/2016","417.00","417.00","417.00","417.00","","18.47%"
"09/01/2016","352.00","352.00","352.00","352.00","","-21.25%"
"08/01/2016","447.00","447.00","447.00","447.00","","-3.87%"
"07/01/2016","465.00","465.00","465.00","465.00","","0.22%"
"06/01/2016","464.00","464.00","464.00","464.00","","-6.45%"
"05/01/2016","496.00","496.00","496.00","496.00","","-8.99%"
"04/01/2016","545.00","545.00","545.00","545.00","","10.10%"
"03/01/2016","495.00","495.00","495.00","495.00","","-3.88%"
"02/01/2016","515.00","515.00","515.00","515.00","","-20.16%"
"01/01/2016","645.00","645.00","645.00","645.00","","11.21%"
"12/01/2015","580.00","580.00","580.00","580.00","","9.23%"
"11/01/2015","531.00","531.00","531.00","531.00","","14.44%"
"10/01/2015","464.00","464.00","464.00","464.00","","-9.20%"
"09/01/2015","511.00","511.00","511.00","511.00","","-13.54%"
"08/01/2015","591.00","591.00","591.00","591.00","","-18.82%"
"07/01/2015","728.00","728.00","728.00","728.00","","-7.14%"
"06/01/2015","784.00","784.00","784.00","784.00","","12.97%"
"05/01/2015","694.00","694.00","694.00","694.00","","14.52%"
"04/01/2015","606.00","606.00","606.00","606.00","","-10.36%"
"03/01/2015","676.00","676.00","676.00","676.00","","-2.73%"
"02/01/2015","695.00","695.00","695.00","695.00","","2.51%"
"01/01/2015","678.00","678.00","678.00","678.00","","-13.85%"
"12/01/2014","787.00","787.00","787.00","787.00","","-4.37%"
"11/01/2014","823.00","823.00","823.00","823.00","","11.97%"
"10/01/2014","735.00","735.00","735.00","735.00","","28.95%"
"09/01/2014","570.00","570.00","570.00","570.00","","4.59%"
"08/01/2014","545.00","545.00","545.00","545.00","","-1.98%"
"07/01/2014","556.00","556.00","556.00","556.00","","1.28%"
"06/01/2014","549.00","549.00","549.00","549.00","","4.57%"
"05/01/2014","525.00","525.00","525.00","525.00","","0.57%"
"04/01/2014","522.00","522.00","522.00","522.00","","-14.43%"
"03/01/2014","610.00","610.00","610.00","610.00","","-3.02%"
"02/01/2014","629.00","629.00","629.00","629.00","","3.80%"
"01/01/2014","606.00","606.00","606.00","606.00","","-1.62%"
"12/01/2013","616.00","616.00","616.00","616.00","","6.39%"
"11/01/2013","579.00","579.00","579.00","579.00","","18.89%"
"10/01/2013","487.00","487.00","487.00","487.00","","-10.81%"
"09/01/2013","546.00","546.00","546.00","546.00","","-9.60%"
"08/01/2013","604.00","604.00","604.00","604.00","","-1.79%"
"07/01/2013","615.00","615.00","615.00","615.00","","9.63%"
"06/01/2013","561.00","561.00","561.00","561.00","","-4.75%"
"05/01/2013","589.00","589.00","589.00","589.00","","-3.28%"
"04/01/2013","609.00","609.00","609.00","609.00","","-11.87%"
"03/01/2013","691.00","691.00","691.00","691.00","","-0.29%"
"02/01/2013","693.00","693.00","693.00","693.00","","-1.84%"
"01/01/2013","706.00","706.00","706.00","706.00","","-6.61%"
"12/01/2012","756.00","756.00","756.00","756.00","","2.02%"
"11/01/2012","741.00","741.00","741.00","741.00","","14.53%"
"10/01/2012","647.00","647.00","647.00","647.00","","0.78%"
"09/01/2012","642.00","642.00","642.00","642.00","","10.50%"
"08/01/2012","581.00","581.00","581.00","581.00","","0.35%"
"07/01/2012","579.00","579.00","579.00","579.00","","2.48%"
"06/01/2012","565.00","565.00","565.00","565.00","","-6.61%"
"05/01/2012","605.00","605.00","605.00","605.00","","-3.35%"
"04/01/2012","626.00","626.00","626.00","626.00","","-2.49%"
"03/01/2012","642.00","642.00","642.00","642.00","","-11.20%"
"02/01/2012","723.00","723.00","723.00","723.00","","11.06%"
"01/01/2012","651.00","651.00","651.00","651.00","","-28.30%"
"12/01/2011","908.00","908.00","908.00","908.00","","26.29%"
"11/01/2011","719.00","719.00","719.00","719.00","","-1.24%"
"10/01/2011","728.00","728.00","728.00","728.00","","0.41%"
"09/01/2011","725.00","725.00","725.00","725.00","","5.38%"
"08/01/2011","688.00","688.00","688.00","688.00","","0.58%"
"07/01/2011","684.00","684.00","684.00","684.00","","-1.44%"
"06/01/2011","694.00","694.00","694.00","694.00","","-3.07%"
"05/01/2011","716.00","716.00","716.00","716.00","","-19.73%"
"04/01/2011","892.00","892.00","892.00","892.00","","6.06%"
"03/01/2011","841.00","841.00","841.00","841.00","","16.16%"
"02/01/2011","724.00","724.00","724.00","724.00","","12.42%"
"01/01/2011","644.00","644.00","644.00","644.00","","-15.15%"
"12/01/2010","759.00","759.00","759.00","759.00","","2.57%"
"11/01/2010","740.00","740.00","740.00","740.00","","18.02%"
"10/01/2010","627.00","627.00","627.00","627.00","","0.48%"
"09/01/2010","624.00","624.00","624.00","624.00","","-8.10%"
"08/01/2010","679.00","679.00","679.00","679.00","","-14.70%"
"07/01/2010","796.00","796.00","796.00","796.00","","1.40%"
"06/01/2010","785.00","785.00","785.00","785.00","","15.44%"
"05/01/2010","680.00","680.00","680.00","680.00","","-7.23%"
"04/01/2010","733.00","733.00","733.00","733.00","","3.53%"
"03/01/2010","708.00","708.00","708.00","708.00","","-7.09%"
"02/01/2010","762.00","762.00","762.00","762.00","","-13.90%"
"01/01/2010","885.00","885.00","885.00","885.00","","39.59%"
"12/01/2009","634.00","634.00","634.00","634.00","","22.16%"
"11/01/2009","519.00","519.00","519.00","519.00","","17.42%"
"10/01/2009","442.00","442.00","442.00","442.00","","-14.67%"
"09/01/2009","518.00","518.00","518.00","518.00","","19.63%"
"08/01/2009","433.00","433.00","433.00","433.00","","-6.88%"
"07/01/2009","465.00","465.00","465.00","465.00","","0.00%"
"06/01/2009","465.00","465.00","465.00","465.00","","-3.33%"
"05/01/2009","481.00","481.00","481.00","481.00","","19.35%"
"04/01/2009","403.00","403.00","403.00","403.00","","8.33%"
"03/01/2009","372.00","372.00","372.00","372.00","","-32.85%"
"02/01/2009","554.00","554.00","554.00","554.00","","-7.36%"
"01/01/2009","598.00","598.00","598.00","598.00","","-28.64%"
"12/01/2008","838.00","838.00","838.00","838.00","","-5.63%"
"11/01/2008","888.00","888.00","888.00","888.00","","-16.46%"
"10/01/2008","1,063.00","1,063.00","1,063.00","1,063.00","","-24.02%"
"09/01/2008","1,399.00","1,399.00","1,399.00","1,399.00","","-5.47%"
"08/01/2008","1,480.00","1,480.00","1,480.00","1,480.00","","13.41%"
"07/01/2008","1,305.00","1,305.00","1,305.00","1,305.00","","-10.92%"
"06/01/2008","1,465.00","1,465.00","1,465.00","1,465.00","","7.01%"
"05/01/2008","1,369.00","1,369.00","1,369.00","1,369.00","","13.14%"
"04/01/2008","1,210.00","1,210.00","1,210.00","1,210.00","","37.03%"
"03/01/2008","883.00","883.00","883.00","883.00","","-6.66%"
"02/01/2008","946.00","946.00","946.00","946.00","","0.32%"
"01/01/2008","943.00","943.00","943.00","943.00","","-13.17%"
"12/01/2007","1,086.00","1,086.00","1,086.00","1,086.00","","-8.28%"
"11/01/2007","1,184.00","1,184.00","1,184.00","1,184.00","","46.53%"
"10/01/2007","808.00","808.00","808.00","808.00","","4.80%"
"09/01/2007","771.00","771.00","771.00","771.00","","-1.15%"
"08/01/2007","780.00","780.00","780.00","780.00","","-15.03%"
"07/01/2007","918.00","918.00","918.00","918.00","","-3.27%"
"06/01/2007","949.00","949.00","949.00","949.00","","-17.98%"
"05/01/2007","1,157.00","1,157.00","1,157.00","1,157.00","","10.30%"
"04/01/2007","1,049.00","1,049.00","1,049.00","1,049.00","","-4.29%"
"03/01/2007","1,096.00","1,096.00","1,096.00","1,096.00","","3.89%"
"02/01/2007","1,055.00","1,055.00","1,055.00","1,055.00","","15.81%"
"01/01/2007","911.00","911.00","911.00","911.00","","-29.33%"
"12/01/2006","1,289.00","1,289.00","1,289.00","1,289.00","","38.45%"
"11/01/2006","931.00","931.00","931.00","931.00","","6.77%"
"10/01/2006","872.00","872.00","872.00","872.00","","-21.86%"
"09/01/2006","1,116.00","1,116.00","1,116.00","1,116.00","","-11.64%"
"08/01/2006","1,263.00","1,263.00","1,263.00","1,263.00","","2.93%"
"07/01/2006","1,227.00","1,227.00","1,227.00","1,227.00","","14.03%"
"06/01/2006","1,076.00","1,076.00","1,076.00","1,076.00","","2.97%"
"05/01/2006","1,045.00","1,045.00","1,045.00","1,045.00","","-7.28%"
"04/01/2006","1,127.00","1,127.00","1,127.00","1,127.00","","38.11%"
"03/01/2006","816.00","816.00","816.00","816.00","","-18.81%"
"02/01/2006","1,005.00","1,005.00","1,005.00","1,005.00","","-27.91%"
"01/01/2006","1,394.00","1,394.00","1,394.00","1,394.00","","-12.16%"
"12/01/2005","1,587.00","1,587.00","1,587.00","1,587.00","","20.59%"
"11/01/2005","1,316.00","1,316.00","1,316.00","1,316.00","","-28.56%"
"10/01/2005","1,842.00","1,842.00","1,842.00","1,842.00","","2.50%"
"09/01/2005","1,797.00","1,797.00","1,797.00","1,797.00","","48.27%"
"08/01/2005","1,212.00","1,212.00","1,212.00","1,212.00","","22.55%"
"07/01/2005","989.00","989.00","989.00","989.00","","-11.85%"
"06/01/2005","1,122.00","1,122.00","1,122.00","1,122.00","","7.99%"
"05/01/2005","1,039.00","1,039.00","1,039.00","1,039.00","","-11.42%"
"04/01/2005","1,173.00","1,173.00","1,173.00","1,173.00","","-8.72%"
"03/01/2005","1,285.00","1,285.00","1,285.00","1,285.00","","2.80%"
"02/01/2005","1,250.00","1,250.00","1,250.00","1,250.00","","-4.51%"
"01/01/2005","1,309.00","1,309.00","1,309.00","1,309.00","","-19.15%"
"12/01/2004","1,619.00","1,619.00","1,619.00","1,619.00","","-7.75%"
"11/01/2004","1,755.00","1,755.00","1,755.00","1,755.00","","-0.11%"
"10/01/2004","1,757.00","1,757.00","1,757.00","1,757.00","","66.23%"
"09/01/2004","1,057.00","1,057.00","1,057.00","1,057.00","","2.42%"
"08/01/2004","1,032.00","1,032.00","1,032.00","1,032.00","","0.68%"
"07/01/2004","1,025.00","1,025.00","1,025.00","1,025.00","","-7.91%"
"06/01/2004","1,113.00","1,113.00","1,113.00","1,113.00","","1.18%"
"05/01/2004","1,100.00","1,100.00","1,100.00","1,100.00","","21.15%"
"04/01/2004","908.00","908.00","908.00","908.00","","-12.86%"
"03/01/2004","1,042.00","1,042.00","1,042.00","1,042.00","","-29.07%"
"02/01/2004","1,469.00","1,469.00","1,469.00","1,469.00","","10.70%"
"01/01/2004","1,327.00","1,327.00","1,327.00","1,327.00","","20.75%"
"12/01/2003","1,099.00","1,099.00","1,099.00","1,099.00","","10.90%"
"11/01/2003","991.00","991.00","991.00","991.00","","17.98%"
"10/01/2003","840.00","840.00","840.00","840.00","","-5.41%"
"09/01/2003","888.00","888.00","888.00","888.00","","-15.35%"
"08/01/2003","1,049.00","1,049.00","1,049.00","1,049.00","","-4.20%"
"07/01/2003","1,095.00","1,095.00","1,095.00","1,095.00","","25.29%"
"06/01/2003","874.00","874.00","874.00","874.00","","-4.79%"
"05/01/2003","918.00","918.00","918.00","918.00","","-20.38%"
"04/01/2003","1,153.00","1,153.00","1,153.00","1,153.00","","-19.99%"
"03/01/2003","1,441.00","1,441.00","1,441.00","1,441.00","","21.81%"
"02/01/2003","1,183.00","1,183.00","1,183.00","1,183.00","","11.50%"
"01/01/2003","1,061.00","1,061.00","1,061.00","1,061.00","","2.71%"
"12/01/2002","1,033.00","1,033.00","1,033.00","1,033.00","","16.59%"
"11/01/2002","886.00","886.00","886.00","886.00","","22.88%"
"10/01/2002","721.00","721.00","721.00","721.00","","5.56%"
"09/01/2002","683.00","683.00","683.00","683.00","","-6.18%"
"08/01/2002","728.00","728.00","728.00","728.00","","-1.89%"
"07/01/2002","742.00","742.00","742.00","742.00","","1.23%"
"06/01/2002","733.00","733.00","733.00","733.00","","-0.41%"